Category,Dataset Variant,Noise Setting,Model,Scaling Used,SMOTE Used,Tuned,CV Accuracy,CV Precision,CV Recall,CV F1,CV ROC-AUC,Holdout Accuracy,Holdout Precision,Holdout Recall,Holdout F1,Holdout ROC-AUC,Notes
Proposed Extension,Prebuilt GMM-noisy dataset,prebuilt robust-scaled noisy dataset | synthetic_rows=114 | synthetic_share=16.67%,ExtraTrees,None,Yes,Yes,0.7477064220183487,0.8245526146604142,0.8199467199467199,0.8219701212502825,0.7949592578120803,0.7372262773722628,0.81,0.826530612244898,0.8181818181818182,0.7696232339089483,"RandomizedSearchCV over ExtraTreesClassifier + SMOTE using 3 high-impact hyperparameters | best_params={""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200} | search_scoring=f1"
Proposed Extension,Prebuilt GMM-noisy dataset,prebuilt robust-scaled noisy dataset | synthetic_rows=114 | synthetic_share=16.67%,Random Forest,None,Yes,Yes,0.7274895746455379,0.8244518290170463,0.7840492840492841,0.8031042500396083,0.7785709250426992,0.7007299270072993,0.8275862068965517,0.7346938775510204,0.7783783783783784,0.760334903192046,"RandomizedSearchCV over RandomForestClassifier + SMOTE using 3 high-impact hyperparameters | best_params={""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300} | search_scoring=f1"
Proposed Extension,Prebuilt GMM-noisy dataset,prebuilt robust-scaled noisy dataset | synthetic_rows=114 | synthetic_share=16.67%,XGBoost,None,Yes,Yes,0.7129107589658049,0.801659516282804,0.7943722943722944,0.7977942237643859,0.7528476228073002,0.6715328467153284,0.7731958762886598,0.7653061224489796,0.7692307692307693,0.7221350078492936,"RandomizedSearchCV over XGBClassifier + SMOTE using 3 high-impact hyperparameters | best_params={""model__learning_rate"": 0.2, ""model__max_depth"": 4, ""model__n_estimators"": 300} | search_scoring=f1"
Proposed Extension,Prebuilt GMM-noisy dataset,prebuilt robust-scaled noisy dataset | synthetic_rows=114 | synthetic_share=16.67%,Gradient Boosting,None,Yes,Yes,0.723836530442035,0.8070308390156041,0.8045621045621045,0.8055410406310572,0.748465580118806,0.656934306569343,0.7628865979381443,0.7551020408163265,0.7589743589743589,0.7116692830978546,"GridSearchCV over GradientBoostingClassifier using the same 3 hyperparameter families as final_models.ipynb | best_params={""model__learning_rate"": 0.2, ""model__max_depth"": 3, ""model__n_estimators"": 200} | search_scoring=accuracy"
Literature Benchmark,Prebuilt GMM-noisy dataset,prebuilt robust-scaled noisy dataset | synthetic_rows=114 | synthetic_share=16.67%,Logistic Regression,StandardScaler,Yes,No,0.659933277731443,0.8998044328552803,0.5887112887112887,0.7105883874513987,0.7756327006327005,0.635036496350365,0.9137931034482759,0.5408163265306123,0.6794871794871795,0.7626896912611199,"Best clean-data literature model carried over from Notebook 05: LogisticRegression(C=1.0, solver='liblinear', max_iter=5000) + StandardScaler + SMOTE"
Proposed Extension,Prebuilt GMM-noisy dataset,prebuilt robust-scaled noisy dataset | synthetic_rows=114 | synthetic_share=16.67%,SVM (RBF),StandardScaler,Yes,Yes,0.6617514595496248,0.9000041312071387,0.5886779886779887,0.7087001483192656,0.7582348431138753,0.583941605839416,0.8727272727272727,0.4897959183673469,0.6274509803921569,0.7208267922553637,"GridSearchCV over SVC with scaling + SMOTE using 3 high-impact hyperparameters | best_params={""model__C"": 2.0, ""model__class_weight"": null, ""model__gamma"": ""scale""} | search_scoring=f1"
